Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
France,4,Mexico,1
USA,3,Belgium,0
Yugoslavia,2,Brazil,1
Romania,3,Peru,1
Argentina,1,France,0
Chile,3,Mexico,0
Yugoslavia,4,Bolivia,0
USA,3,Paraguay,0
Uruguay,1,Peru,0
Chile,1,France,0
Argentina,6,Mexico,3
Brazil,4,Bolivia,0
Paraguay,1,Belgium,0
Uruguay,4,Romania,0
Argentina,3,Chile,1
Argentina,6,USA,1
Uruguay,6,Yugoslavia,1
Uruguay,4,Argentina,2
Austria,3,France,2
Hungary,4,Egypt,2
Switzerland,3,Netherlands,2
Sweden,3,Argentina,2
Germany,5,Belgium,2
Spain,3,Brazil,1
Italy,7,USA,1
Czechoslovakia,2,Romania,1
Czechoslovakia,3,Switzerland,2
Germany,2,Sweden,1
Italy,1,Spain,1
Austria,2,Hungary,1
Italy,1,Spain,0
Italy,1,Austria,0
Czechoslovakia,3,Germany,1
Germany,3,Austria,2
Italy,2,Czechoslovakia,1
Switzerland,1,Germany,1
Hungary,6,Dutch East Indies,0
France,3,Belgium,1
Cuba,3,Romania,3
Italy,2,Norway,1
Brazil,6,Poland,5
Czechoslovakia,3,Netherlands,0
Cuba,2,Romania,1
Switzerland,4,Germany,2
Brazil,1,Czechoslovakia,1
Hungary,2,Switzerland,0
Sweden,8,Cuba,0
Italy,3,France,1
Brazil,2,Czechoslovakia,1
Hungary,5,Sweden,1
Italy,2,Brazil,1
Brazil,4,Sweden,2
Italy,4,Hungary,2
Brazil,4,Mexico,0
England,2,Chile,0
Spain,3,USA,1
Sweden,3,Italy,2
Yugoslavia,3,Switzerland,0
Brazil,2,Switzerland,2
Yugoslavia,4,Mexico,1
Spain,2,Chile,0
Sweden,2,Paraguay,2
USA,1,England,0
Brazil,2,Yugoslavia,0
Spain,1,England,0
Italy,2,Paraguay,0
Uruguay,8,Bolivia,0
Switzerland,2,Mexico,1
Chile,5,USA,2
Uruguay,2,Spain,2
Brazil,7,Sweden,1
Brazil,6,Spain,1
Uruguay,3,Sweden,2
Sweden,3,Spain,1
Uruguay,2,Brazil,1
Uruguay,2,Czechoslovakia,0
Austria,1,Scotland,0
Brazil,5,Mexico,0
Yugoslavia,1,France,0
Germany FR,4,Turkey,1
Hungary,9,Korea Republic,0
England,4,Belgium,4
Switzerland,2,Italy,1
Uruguay,7,Scotland,0
Austria,5,Czechoslovakia,0
France,3,Mexico,2
Brazil,1,Yugoslavia,1
Hungary,8,Germany FR,3
Turkey,7,Korea Republic,0
England,2,Switzerland,0
Italy,4,Belgium,1
